uom,descr,short_descr,abbr,uom_type,predef_flag,accum_flag,imperial_flag,system_conv_uom,iso_code,update_date,u_version
10001,Inches                                  ,inches  ,in,1,True,True,True,10011,,,!
10002,Feet                                    ,feet    ,ft,1,True,True,True,10012,,,!
10003,Yards                                   ,yards   ,yd,1,True,True,True,10013,,,!
10011,Millimeters                             ,mm's    ,mm,1,True,True,False,10001,,,!
10012,Centimeters                             ,cm's    ,cm,1,True,True,False,10002,,,!
10013,Meters                                  ,meters  ,mt,1,True,True,False,10003,,,!
20001,Miles                                   ,miles   ,mi,2,True,True,True,20011,,,!
20011,Kilometers                              ,km's    ,km,2,True,True,False,20001,,,!
30001,Square Inches                           ,sq in   ,si,3,True,True,True,30011,,,!
30002,Square Feet                             ,sq feet ,sf,3,True,True,True,30012,,,!
30003,Square Yards                            ,sq yards,sy,3,True,True,True,30013,,,!
30004,Square Miles                            ,sq miles,sl,3,True,True,True,30014,,,!
30005,Acres                                   ,acres   ,ac,3,True,True,True,30014,,,!
30011,Square Millimeters                      ,sq mm's ,sm,3,True,True,False,30001,,,!
30012,Square Centimeters                      ,sq cm's ,sc,3,True,True,False,30001,,,!
30013,Square Meters                           ,sq meter,m2,3,True,True,False,30003,,,!
30014,Square Kilometers                       ,sq km's ,k2,3,True,True,False,30004,,,!
40001,Cubic Inches                            ,cu inch ,ci,4,True,True,True,40012,,,!
40002,Cubic Feet                              ,cu feet ,cf,4,True,True,True,40013,,,!
40003,Cubic Yards                             ,Cubic Ya,cy,4,True,True,True,40013,,2001-04-11 16:45:10,!
40005,Cubic Yards                             ,cu yds  ,cy,4,True,True,True,40013,,2004-12-01 16:37:40,!
40011,Cubic Millimeters                       ,cu mm's ,ms,4,True,True,False,40001,,,!
40012,Cubic Centimeters                       ,cu cm's ,c3,4,True,True,False,40001,,,!
40013,Cubic Meters                            ,cu meter,M3,4,False,True,False,40003,,2001-07-03 12:40:31,!
50001,Ounces                                  ,ounces  ,oz,5,True,True,True,50012,,,!
50002,Pints                                   ,pints   ,pt,5,True,True,True,50011,,,!
50003,Quarts                                  ,quarts  ,qt,5,True,True,True,50011,,,!
50004,Gallons                                 ,gallons ,ga,5,True,True,True,50011,,,!
50011,Liters                                  ,liters  ,li,5,True,True,False,50004,,,!
50012,Milliliters                             ,mlliter ,ml,5,True,True,False,50001,,,!
54004,Gallons                                 ,gallons ,ga,5,True,True,True,50011,,2004-12-07 15:29:14,!
60001,Ounces                                  ,ounces  ,oz,6,True,True,True,60011,,,!
60002,Pounds                                  ,pounds  ,lb,6,True,True,True,60012,,,!
60003,Tons                                    ,Tons    ,tn,6,True,True,True,60013,,,!
60011,Grams                                   ,grams   ,gm,6,True,True,False,60001,,,!
60012,Kilograms                               ,kilogram,kg,6,True,True,False,60002,,,!
60013,Metric tons                             ,m_tonnes,to,6,True,True,False,60003,,,!
60112,test                                    ,t       ,T ,,False,False,True,60012,,2004-10-19 13:27:07,!
70001,Pounds per square inch                  ,psi     ,ps,7,True,False,True,70011,,,!
70011,Megapascals MPa                         ,MPa     ,MP,7,True,False,False,70001,,,!
70012,Newtons per square millimeter           ,N/mm2   ,NW,7,True,False,False,70001,,,!
80001,Each                                    ,each    ,ea,8,True,True,True,80001,,,!
80002,Per Load                                ,per load,/l,8,True,False,False,80002,,,!
80003,Per Qty                                 ,per qty ,/Q,8,True,False,False,,,,!
80004,Per Hour                                ,per hour,/h,8,True,False,True,80004,,,!
80005,Per Cubic Yard                          ,per c/yd,/y,8,True,False,True,80006,,2001-02-01 10:26:51,!
80006,Per Cubic Meter                         ,per m3  ,/m,8,True,False,False,80005,,2001-02-01 10:29:55,!
80007,per Minute                              ,per Min ,/M,8,True,False,True,80007,,,!
80012,Block Equivalent Units                  ,BlckEqUn,EU,8,True,True,True,80012,,,!
80013,Per Meter                               ,per mt  ,/m,8,True,False,False,80003,,,!
8EQU ,"8""  Equivalent Block                    ","8"" Equiv","8""",8,False,False,True,80001,,,!
90001,Dosage                                  ,Dosage  ,ds,8,True,False,False,90001,,,!
90002,Percent                                 ,Percent ,% ,8,True,False,False,90001,,1999-12-15 13:11:26,!
90003,Per 100 weight                          ,Per cwt ,/C,8,True,False,False,90003,,2003-06-19 14:13:22,!
90004,Hours                                   ,Hours   ,HR,8,True,False,False,80001,,2008-03-05 12:19:00,!
90005,Flat Rate                               ,Flat Rat,FR,8,True,False,False,80001,,2008-03-05 12:28:56,!
BLOCK,1000 block                              ,1000 bl ,1K,8,False,False,False,BLOCK,,2006-07-05 09:25:56,!
CY   ,Cubic Yards                             ,C Yds   ,CY,4,False,False,True,40013,,,!
CYARD,CYARD                                   ,CYARD   ,CY,4,True,True,True,40013,,2004-10-12 15:44:49,!
M3   ,M3                                      ,M3      ,M3,4,False,False,True,M3   ,,,!
M8   ,Solar Yard                              ,SYARD   ,SY,4,False,False,True,40003,,,!
TON1 ,ton1                                    ,,,,False,False,True,,,,!
TONS ,TONS                                    ,TONS    ,TS,6,True,True,True,60013,,2004-10-19 14:52:22,!
